Gene,Control_Mean,Treatment_Mean,Fold_Change,Change_Direction
Gene10,40.13333333333333,69.6,1.7342192691011604,Up
Gene98,47.13333333333333,71.2,1.5106082036764272,Up
Gene74,39.333333333333336,58.6,1.4898305084733308,Up
Gene35,46.2,68.6,1.4848484848474353,Up
Gene40,46.46666666666667,65.33333333333333,1.406025824963258,Up
Gene63,51.93333333333333,35.86666666666667,0.6906290115538692,Down
Gene78,69.06666666666666,46.666666666666664,0.6756756756761453,Down
Gene6,54.86666666666667,36.6,0.6670716889434987,Down
Gene54,65.4,38.8,0.5932721712544444,Down
Gene53,60.733333333333334,35.666666666666664,0.5872667398470023,Down
